序号,消息id,发送方,消息格式,消息内容,时间
5,862606100001473,买家,text,好的一定,2026-06-01 11:14:30.932
5,862606100001515,商家,text,么么哒~期待您的下次光临❤,2026-06-01 11:15:29.468
6,862606100001570,买家,text,我拍了美白淡斑精华，今天能发货吗？寄到成都武侯，真的服了,2026-06-01 11:15:20.836
6,862606100001609,买家,text,速度啊姐妹,2026-06-01 11:19:07.243
6,862606100001701,商家,text,您好~现货48小时内发出，默认中通，到成都武侯一般2天左右哦,2026-06-01 11:19:25.555
6,862606100001770,买家,text,好，那我等消息,2026-06-01 11:20:40.679
6,862606100001809,买家,text,速度啊姐妹,2026-06-01 11:23:06.549
6,862606100001851,商家,text,好的亲~发出后系统会自动推送单号，感谢您的耐心等待❤,2026-06-01 11:23:23.445
7,862606100001929,买家,text,我拍了积雪草舒缓修护面膜，今天能发货吗？寄到深圳南山,2026-06-01 11:19:59.191
7,862606100001982,商家,text,您好~现货48小时内发出，默认韵达，到深圳南山一般2天左右哦,2026-06-01 11:20:36.783
7,862606100002078,买家,text,别跟我说一般，给个准话今天发不发,2026-06-01 11:22:36.861
7,862606100002155,商家,text,理解您着急的心情，刚和仓库确认过，您的包裹今天一定发出，请放心~,2026-06-01 11:23:55.020
8,862606100002202,买家,text,客服客服,2026-06-01 11:24:38.513
8,862606100002255,买家,text,我是干皮,2026-06-01 11:25:01.260
8,862606100002339,买家,text,能用角鲨烷保湿面霜吗,2026-06-01 11:25:16.810
8,862606100002425,商家,text,您好~角鲨烷保湿面霜配方温和无酒精无香精，干皮也可以放心使用哦,2026-06-01 11:26:30.431
9,862606100002458,买家,text,你好，持妆无瑕粉底液有补水功能吗？,2026-06-01 11:49:59.455
9,862606100002540,商家,text,您好~这款主打温和修护和长效保湿，很多回购的宝宝反馈对闭口有帮助呢,2026-06-01 11:51:28.958
9,862606100002594,买家,text,白天能用吗,2026-06-01 11:51:42.724
9,862606100002631,商家,text,白天可以使用的，如果含美白/酸类成分建议白天做好防晒哦~,2026-06-01 11:52:58.494
9,862606100002668,买家,text,了解了，我考虑一下,2026-06-01 11:54:23.460
9,862606100002703,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-01 11:54:59.430
10,862606100002791,买家,text,发什么快递？长沙岳麓几天能到,2026-06-01 12:18:03.727
10,862606100002854,商家,text,您好，默认发顺丰，到长沙岳麓一般3天，偏远地区会稍慢一点哦~,2026-06-01 12:19:01.643
10,862606100002907,买家,text,别跟我说一般，给个准话今天发不发,2026-06-01 12:21:16.651
10,862606100002955,商家,text,理解您着急的心情，刚和仓库确认过，您的包裹今天一定发出，请放心~,2026-06-01 12:21:57.382
11,862606100003042,买家,text,这款含视黄醇吗？我对视黄醇不耐受,2026-06-01 12:25:10.707
11,862606100003104,商家,text,亲亲，成分表可以在详情页查看哦，视黄醇排位靠前是核心成分，不耐受的话建议先建立耐受：隔天薄涂，从局部开始~,2026-06-01 12:26:33.381
11,862606100003151,买家,text,新手直接用会刺激吗,2026-06-01 12:28:35.540
11,862606100003235,商家,text,建议新手先局部试用建立耐受，如出现持续刺痛泛红请停用，我们支持过敏凭证退货的哦~,2026-06-01 12:29:33.887
12,862606100003320,买家,text,在么在么,2026-06-01 12:38:35.769
12,862606100003399,买家,text,你们家角鲨烷保湿面霜是正品吗？比专柜便宜好多,2026-06-01 12:38:43.193
12,862606100003458,商家,text,您好~我们是品牌官方授权店铺，支持专柜验货，假一赔十，价格低是因为有平台补贴哦,2026-06-01 12:39:22.267
13,862606100003511,买家,text,下单地址填错了，能帮我从上海浦东改到杭州西湖吗？订单号20260659290860,2026-06-01 13:01:03.952
13,862606100003603,商家,text,您好~帮您看下订单状态，如果还没出库可以直接改，请把完整的新地址发我一下哦,2026-06-01 13:01:30.262
13,862606100003689,买家,text,杭州西湖xx路72号28栋512室，收件人电话不变,2026-06-01 13:02:38.503
13,862606100003750,商家,text,已经帮您改好啦，发货时会按新地址寄出，请放心~,2026-06-01 13:02:59.340
13,862606100003785,买家,text,好的，麻烦了,2026-06-01 13:04:16.056
13,862606100003823,商家,text,不客气~有其他问题随时找我哦❤,2026-06-01 13:04:53.774
14,862606100003898,买家,text,一次用多少量合适？感觉一瓶用得好快,2026-06-01 13:07:34.575
14,862606100003943,商家,text,亲，一次1泵就够啦，用量过多可能搓泥，按正常用量一瓶可以用2个月左右~,2026-06-01 13:08:13.623
15,862606100003998,买家,text,玻尿酸补水精华液我一直回购，最近怎么涨价了,2026-06-01 13:19:57.513
15,862606100004078,买家,text,券在哪里领,2026-06-01 13:20:14.127
15,862606100004147,商家,text,亲，前段时间是大促价，现在恢复日常价啦，不过老客户这边可以给您申请一张回购专属券~,2026-06-01 13:20:40.692
15,862606100004207,商家,text,券已发放到您的账户「我的优惠券」里啦，24小时内有效，记得使用哦~,2026-06-01 13:20:57.855
16,862606100004251,买家,text,敏感肌用持妆无瑕粉底液会闷痘吗,2026-06-01 13:35:31.287
16,862606100004284,商家,text,您好，这款针对敏感肌做过测试，肤感清爽不闷，正确用量一般不会闷痘的哦,2026-06-01 13:36:54.328
16,862606100004364,买家,text,换季烂脸期能用吗,2026-06-01 13:37:42.451
16,862606100004395,商家,text,换季敏感期建议精简护肤，先用舒缓保湿类，等皮肤稳定后再叠加功效型产品~,2026-06-01 13:38:15.054
17,862606100004441,买家,text,温和卸妆油的批号在哪里看？我想查保质期,2026-06-01 13:42:07.816
17,862606100004497,商家,text,批号在瓶底/管尾喷码，格式如2680A13，保质期3年，详情页也有批次说明哦,2026-06-01 13:42:41.988
18,862606100004546,买家,text,你好,2026-06-01 13:59:01.593
18,862606100004639,买家,text,用了角鲨烷保湿面霜第二天脸上起了小红疹，还有点痒，怎么办！！,2026-06-01 13:59:15.479
18,862606100004696,买家,text,是不是你们产品有问题？我用别的都没事,2026-06-01 13:59:18.830
18,862606100004780,商家,text,在的呢，您说~,2026-06-01 13:59:35.195
18,862606100004852,商家,text,您好，先别担心~请立即停用并用清水洁面，避免叠加其他功效产品，如持续加重建议及时就医哦,2026-06-01 13:59:38.497
18,862606100004917,商家,text,过敏支持退货的呢，麻烦提供皮肤状况照片，这边登记后为您办理退款，运费我们承担~,2026-06-01 14:00:02.272
18,862606100004999,买家,picture,https://img.example.com/buyer/skin/853678.jpg,2026-06-01 14:02:19.128
18,862606100005080,商家,text,收到照片啦，已帮您登记过敏售后，退款将在1-3个工作日原路退回，祝您皮肤早日恢复~,2026-06-01 14:03:44.753
19,862606100005166,买家,text,多肽紧致眼霜用了几次不太合适，能退吗,2026-06-01 14:03:54.063
19,862606100005235,商家,text,您好~支持七天无理由退货（自签收次日起算），未拆封可直接申请，已拆封使用的这边帮您登记专员审核哦,2026-06-01 14:04:26.208
19,862606100005287,买家,text,退款多久到账,2026-06-01 14:05:17.609
19,862606100005382,商家,text,退款在仓库验收后1-3个工作日原路退回，请留意账户到账信息~,2026-06-01 14:05:36.356
19,862606100005473,买家,text,明白了,2026-06-01 14:08:10.339
19,862606100005520,商家,text,好的亲~申请后把单号发我，这边帮您加急处理哦❤,2026-06-01 14:08:25.967
20,862606100005613,买家,text,在吗？,2026-06-01 14:36:37.043
20,862606100005707,买家,text,买错了，想把维C亮肤精华换成果酸焕肤身体乳，怎么操作,2026-06-01 14:36:46.039
20,862606100005758,商家,text,亲，换货可以直接在订单页申请「换货」，选好新款式，我们收到退件后48小时内发出新品~,2026-06-01 14:37:55.011
20,862606100005838,买家,text,退款多久到账,2026-06-01 14:39:26.629
20,862606100005920,商家,text,退款在仓库验收后1-3个工作日原路退回，请留意账户到账信息~,2026-06-01 14:40:19.025
21,862606100005992,买家,text,帮我看下，油皮冬天用果酸焕肤身体乳合适不,2026-06-01 14:38:48.038
21,862606100006043,买家,text,学生党适合吗,2026-06-01 14:39:09.661
21,862606100006111,商家,text,您好~果酸焕肤身体乳配方温和无酒精无香精，油皮也可以放心使用哦,2026-06-01 14:39:54.122
21,862606100006178,商家,text,适合的，成分温和基础保湿为主，年轻肌肤日常护理完全OK~,2026-06-01 14:40:10.787
21,862606100006271,买家,text,好的，那我下单了,2026-06-01 14:42:23.894
21,862606100006306,商家,text,好的亲~今天下单还有赠品小样3件套哦，感谢支持❤,2026-06-01 14:42:34.579
22,862606100006354,买家,text,问一下,2026-06-01 17:06:13.940
22,862606100006426,买家,text,我拍了玫瑰纯露爽肤水，今天能发货吗？寄到北京朝阳,2026-06-01 17:06:34.066
22,862606100006516,商家,text,您好，客服小美很高兴为您服务~,2026-06-01 17:06:54.148
22,862606100006591,商家,text,您好~现货48小时内发出，默认申通，到北京朝阳一般2天左右哦,2026-06-01 17:07:15.968
22,862606100006643,买家,text,好，那我等消息,2026-06-01 17:07:41.949
22,862606100006691,商家,text,好的亲~发出后系统会自动推送单号，感谢您的耐心等待❤,2026-06-01 17:08:47.391
23,862606100006729,买家,text,发票能开公司抬头吗？要专票,2026-06-01 18:06:42.175
23,862606100006810,商家,text,支持开企业抬头，专票需要提供完整开票信息（税号、地址、开户行），这边登记后5个工作日内寄出~,2026-06-01 18:07:31.051
23,862606100006857,买家,text,好的，信息发你了,2026-06-01 18:07:59.288
23,862606100006921,商家,text,收到~已帮您提交开票申请，开好后第一时间发送给您，请留意查收哦❤,2026-06-01 18:09:23.209
24,862606100006998,买家,text,下单地址填错了,2026-06-01 18:36:46.222
24,862606100007045,买家,text,能帮我从成都武侯改到深圳南山吗？订单号20260642543135,2026-06-01 18:37:11.166
24,862606100007083,商家,text,在的在的，请讲~,2026-06-01 18:37:35.282
24,862606100007170,商家,text,您好~帮您看下订单状态，如果还没出库可以直接改，请把完整的新地址发我一下哦,2026-06-01 18:37:41.560
24,862606100007242,买家,text,深圳南山xx路78号18栋2268室,2026-06-01 18:38:14.127
24,862606100007295,买家,text,收件人电话不变,2026-06-01 18:38:29.837
24,862606100007383,商家,text,已经帮您改好啦，发货时会按新地址寄出，请放心~,2026-06-01 18:38:49.452
25,862606100007480,买家,text,水杨酸祛痘棉片味道我不太喜欢，太浓了,2026-06-01 18:51:17.277
25,862606100007512,商家,text,在的在的，请讲~,2026-06-01 18:51:47.622
25,862606100007543,商家,text,抱歉没能符合您的喜好~这款是天然植物香，不含人工香精，介意气味的话下次可以试试我们的无香系列哦,2026-06-01 18:52:09.902
26,862606100007577,买家,text,我是干皮，能用神经酰胺修护面霜吗,2026-06-01 18:54:12.650
26,862606100007670,商家,text,您好，客服小美很高兴为您服务~,2026-06-01 18:54:27.029
26,862606100007753,商家,text,您好，这款针对干皮做过测试，肤感清爽不闷，正确用量一般不会闷痘的哦,2026-06-01 18:54:40.599
26,862606100007828,买家,text,换季烂脸期能用吗,2026-06-01 18:55:12.557
26,862606100007917,商家,text,换季敏感期建议精简护肤，先用舒缓保湿类，等皮肤稳定后再叠加功效型产品~,2026-06-01 18:55:34.515
27,862606100007960,买家,text,口红02象牙白和03健康色哪个显白？,2026-06-01 19:17:18.188
27,862606100008037,商家,picture,https://img.example.com/seller/shade_card/365242.jpg,2026-06-01 19:17:51.039
27,862606100008089,商家,text,显白推荐13暖调自然，冷调更提气色，黄皮涂也不荧光~,2026-06-01 19:18:08.268
27,862606100008150,买家,text,持久度如何，一天要补妆吗,2026-06-01 19:20:06.242
27,862606100008214,商家,text,实测8-10小时持妆，油皮建议定妆喷雾锁一下，基本不用补妆~,2026-06-01 19:21:13.343
28,862606100008253,买家,text,首页领的优惠券怎么用不了？,2026-06-01 19:42:19.814
28,862606100008343,商家,text,亲，麻烦截图发我看下券的使用条件哦，部分券限品类或有门槛金额~,2026-06-01 19:43:43.922
28,862606100008414,买家,text,OK懂了,2026-06-01 19:46:28.931
28,862606100008445,商家,text,好的亲~下单后备注「客服小美」，这边给您优先发货哦❤,2026-06-01 19:46:39.469
29,862606100008540,买家,text,上次买的视黄醇抗皱晚霜用完了，还是原来的配方吗？,2026-06-01 21:01:26.266
29,862606100008577,商家,text,亲亲在的哦~,2026-06-01 21:02:00.250
29,862606100008670,商家,text,感谢回购支持❤ 配方没有变哦，新包装升级了泵头更好按压~,2026-06-01 21:02:19.352
29,862606100008751,买家,text,那还行，我拍两瓶,2026-06-01 21:04:22.572
29,862606100008815,商家,text,好嘞~两瓶还能凑到满减，帮您备注优先发货❤,2026-06-01 21:05:50.610
30,862606100008899,买家,text,在吗？,2026-06-01 21:07:22.207
30,862606100008967,买家,text,订单20260663782479可以开发票吗？,2026-06-01 21:07:32.153
30,862606100009058,商家,text,可以的呢~订单页「申请开票」填写抬头即可，电子普票48小时内发送到您邮箱哦,2026-06-01 21:08:37.236
30,862606100009093,买家,text,电子票就行,2026-06-01 21:10:46.698
30,862606100009138,商家,text,收到~已帮您提交开票申请，开好后第一时间发送给您，请留意查收哦❤,2026-06-01 21:12:10.281
31,862606100009210,买家,text,订单20260624272824什么时候发货？都两天了,2026-06-01 21:35:56.645
31,862606100009268,商家,text,在的呢，您说~,2026-06-01 21:36:17.742
31,862606100009324,商家,text,亲，已催仓库优先处理您的订单，发出后会短信通知，请留意物流信息~,2026-06-01 21:36:29.136
32,862606100009397,买家,text,包裹压变形了，洋甘菊舒缓喷雾漏得到处都是,2026-06-01 21:39:07.405
32,862606100009490,买家,picture,https://img.example.com/buyer/damage/847293.jpg,2026-06-01 21:39:27.286
32,862606100009536,商家,text,非常抱歉给您带来不好的体验！这边已看到图片，先帮您登记核实，一定给您明确的处理结果,2026-06-01 21:39:53.151
32,862606100009574,买家,text,你们现在给我个明确方案，不要让我一直等,2026-06-01 21:41:40.340
32,862606100009655,商家,text,确认是运输/包装问题的话，支持补发、换货或退款，您选哪种这边马上安排~,2026-06-01 21:42:15.970
32,862606100009702,买家,text,行，那就补发吧，快点发,2026-06-01 21:43:51.434
32,862606100009784,买家,text,还在吗？我很急,2026-06-01 21:45:23.298
32,862606100009817,商家,text,好的已登记补发，今天发出后单号会同步给您，感谢您的理解与支持❤,2026-06-01 21:46:26.201
33,862606100009890,买家,text,你好，水杨酸祛痘棉片有补水功能吗？,2026-06-01 23:26:06.191
33,862606100009975,商家,text,您好~这款主打温和修护和长效保湿，很多回购的宝宝反馈对毛孔粗大有帮助呢,2026-06-01 23:26:41.557
33,862606100010017,买家,text,和精华一起用可以吗,2026-06-01 23:28:06.811
33,862606100010078,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-01 23:28:41.753
34,862606100010155,买家,text,我最近出油比较严重,2026-06-01 23:32:00.757
34,862606100010212,买家,text,多肽紧致眼霜有用吗,2026-06-01 23:32:21.302
34,862606100010299,商家,text,亲亲您好，多肽紧致眼霜含高浓度活性成分，主打改善出油和提亮肤色，需要连续使用28天以上效果更明显哦,2026-06-01 23:33:17.994
34,862606100010391,买家,text,白天能用吗,2026-06-01 23:34:29.511
34,862606100010486,商家,text,白天可以使用的，如果含美白/酸类成分建议白天做好防晒哦~,2026-06-01 23:35:44.998
34,862606100010564,买家,text,多久能看到效果呀,2026-06-01 23:38:27.603
34,862606100010661,商家,text,一般连续使用2-4周会感觉皮肤状态改善，个体有差异哦，建议配合防晒效果更好~,2026-06-01 23:39:38.016
34,862606100010712,买家,text,行，我先拍一瓶试试,2026-06-01 23:41:10.781
34,862606100010775,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-01 23:42:29.240
35,862606100010830,买家,text,神经酰胺修护面霜用了几次不太合适,2026-06-02 08:13:15.434
35,862606100010920,买家,text,能退吗,2026-06-02 08:13:31.123
35,862606100010997,买家,text,回个话啊,2026-06-02 08:16:57.251
35,862606100011064,商家,text,您好~支持七天无理由退货（自签收次日起算），未拆封可直接申请，已拆封使用的这边帮您登记专员审核哦,2026-06-02 08:18:13.243
35,862606100011129,买家,text,我已经拆封用过两次了也能退？！！,2026-06-02 08:20:13.804
35,862606100011218,商家,text,过敏或质量问题拆封了也支持退的呢，其他情况拆封使用会影响二次销售，需专员审核，请您理解~,2026-06-02 08:20:38.865
36,862606100011257,买家,text,用了洋甘菊舒缓喷雾第二天脸上起了小红疹,2026-06-02 08:32:58.118
36,862606100011330,买家,text,还有点痒，怎么办,2026-06-02 08:33:22.366
36,862606100011423,买家,text,？？？,2026-06-02 08:38:33.680
36,862606100011502,商家,text,您好，先别担心~请立即停用并用清水洁面，避免叠加其他功效产品，如持续加重建议及时就医哦,2026-06-02 08:39:48.234
36,862606100011553,买家,text,需要我提供什么凭证,2026-06-02 08:41:16.796
36,862606100011643,买家,text,速度啊姐妹,2026-06-02 08:44:37.439
36,862606100011686,商家,text,过敏支持退货的呢，麻烦提供皮肤状况照片，这边登记后为您办理退款，运费我们承担~,2026-06-02 08:46:07.407
36,862606100011731,买家,picture,https://img.example.com/buyer/skin/781489.jpg,2026-06-02 08:48:10.385
36,862606100011767,商家,text,收到照片啦，已帮您登记过敏售后，退款将在1-3个工作日原路退回，祝您皮肤早日恢复~,2026-06-02 08:49:36.492
37,862606100011856,买家,text,帮我看下，中性皮肤冬天用果酸焕肤身体乳合适不,2026-06-02 08:37:11.279
37,862606100011948,商家,text,您好~果酸焕肤身体乳配方温和无酒精无香精，中性皮肤也可以放心使用哦,2026-06-02 08:38:21.825
37,862606100011994,买家,text,孕妇可以用吗,2026-06-02 08:39:09.355
37,862606100012081,商家,text,这款不含视黄醇和水杨酸，但孕期皮肤比较敏感，建议咨询医生后再使用更稳妥哦~,2026-06-02 08:39:47.385
37,862606100012148,买家,text,好的，那我下单了,2026-06-02 08:42:46.480
37,862606100012241,商家,text,好的亲~今天下单还有赠品洁面起泡网哦，感谢支持❤,2026-06-02 08:43:15.958
38,862606100012319,买家,text,在吗？,2026-06-02 09:08:36.994
38,862606100012371,买家,text,神经酰胺修护面霜怎么用呀，早晚都要用吗,2026-06-02 09:08:43.607
38,862606100012446,商家,text,在的呢，您说~,2026-06-02 09:08:58.966
38,862606100012478,商家,text,您好~神经酰胺修护面霜建议早晚洁面后使用，取1-2泵均匀涂抹全脸，避开眼周哦,2026-06-02 09:09:23.024
38,862606100012556,买家,text,明白了，谢谢,2026-06-02 09:11:41.170
38,862606100012636,商家,text,不客气哦~祝您使用愉快，有问题随时来找客服小美❤,2026-06-02 09:12:33.065
39,862606100012678,买家,text,你好，轻盈防晒霜SPF50+有补水功能吗？,2026-06-02 09:36:56.553
39,862606100012738,商家,text,您好，在的呢~ 轻盈防晒霜SPF50+核心功效是保湿修护，坚持使用对泛红会有改善哦,2026-06-02 09:37:07.982
39,862606100012796,买家,text,多久能看到效果呀,2026-06-02 09:38:06.609
39,862606100012839,买家,text,和精华一起用可以吗,2026-06-02 09:38:26.816
39,862606100012875,商家,text,一般连续使用2-4周会感觉皮肤状态改善，个体有差异哦，建议配合防晒效果更好~,2026-06-02 09:39:47.603
39,862606100012907,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-02 09:39:53.617
39,862606100012950,买家,text,好的谢谢,2026-06-02 09:41:30.132
39,862606100013030,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-02 09:41:43.621
40,862606100013126,买家,text,在吗？,2026-06-02 09:43:30.918
40,862606100013191,买家,text,用了视黄醇抗皱晚霜第二天脸上起了小红疹，还有点痒，怎么办,2026-06-02 09:43:48.130
40,862606100013272,商家,text,您好，先别担心~请立即停用并用清水洁面，避免叠加其他功效产品，如持续加重建议及时就医哦,2026-06-02 09:44:18.777
40,862606100013324,买家,text,是不是你们产品有问题？我用别的都没事,2026-06-02 09:45:37.554
40,862606100013388,商家,text,每个人肤质耐受不同，产品是正规备案的，您的情况我们非常重视，支持全额退款并赠您舒缓小样~,2026-06-02 09:46:33.523
40,862606100013422,买家,picture,https://img.example.com/buyer/skin/233199.jpg,2026-06-02 09:48:15.649
40,862606100013469,商家,text,收到照片啦，已帮您登记过敏售后，退款将在1-3个工作日原路退回，祝您皮肤早日恢复~,2026-06-02 09:49:11.877
41,862606100013507,买家,text,买错了，想把轻盈防晒霜SPF50+换成虾青素抗氧精华，怎么操作,2026-06-02 09:46:56.784
41,862606100013575,买家,text,运费谁出？,2026-06-02 09:47:18.832
41,862606100013631,商家,text,在的在的，请讲~,2026-06-02 09:47:32.498
41,862606100013668,商家,text,亲，换货可以直接在订单页申请「换货」，选好新款式，我们收到退件后48小时内发出新品~,2026-06-02 09:47:39.888
41,862606100013739,商家,text,质量/过敏问题运费我们承担；个人原因退货运费需要您承担哦，有运费险的话会自动理赔~,2026-06-02 09:47:56.951
41,862606100013795,买家,text,好，那我去申请,2026-06-02 09:50:34.345
41,862606100013850,商家,text,好的亲~申请后把单号发我，这边帮您加急处理哦❤,2026-06-02 09:51:55.988
42,862606100013944,买家,text,一次用多少量合适？感觉一瓶用得好快,2026-06-02 09:49:22.196
42,862606100014035,买家,text,可以只晚上用吗,2026-06-02 09:49:40.973
42,862606100014105,商家,text,亲，一次黄豆粒大小就够啦，用量过多可能搓泥，按正常用量一瓶可以用45天左右~,2026-06-02 09:49:50.987
42,862606100014139,商家,text,可以的呢，晚间皮肤吸收更好，只晚上用也完全OK~,2026-06-02 09:50:15.490
42,862606100014208,买家,text,明白了，谢谢,2026-06-02 09:52:55.801
42,862606100014246,商家,text,不客气哦~祝您使用愉快，有问题随时来找客服小美❤,2026-06-02 09:54:11.010
43,862606100014301,买家,text,闺蜜是敏感肌,2026-06-02 09:59:21.566
43,862606100014361,买家,text,送什么面膜安全,2026-06-02 09:59:37.291
43,862606100014450,商家,text,敏感肌闭眼入洋甘菊舒缓喷雾，无酒精无香精，医美后也能用的~,2026-06-02 10:01:03.857
43,862606100014505,买家,text,有礼品袋吗,2026-06-02 10:02:52.634
43,862606100014579,商家,text,有的，赠送同色系礼品袋，送礼很有面子哦~,2026-06-02 10:04:14.424
43,862606100014657,买家,text,太好了，就这套吧,2026-06-02 10:07:10.442
43,862606100014707,商家,text,好的~祝您送礼成功，她一定会喜欢的❤,2026-06-02 10:07:26.236
44,862606100014764,买家,text,客服客服,2026-06-02 10:17:34.404
44,862606100014854,买家,text,亲，维C亮肤精华适合秋冬用吗，会不会不够滋润,2026-06-02 10:17:46.167
44,862606100014944,买家,text,人呢？？,2026-06-02 10:21:16.225
44,862606100015008,商家,text,您好~这款主打温和修护和长效保湿，很多回购的宝宝反馈对细纹有帮助呢,2026-06-02 10:22:27.375
44,862606100015086,买家,text,和精华一起用可以吗,2026-06-02 10:23:42.173
44,862606100015148,买家,text,怎么没人说话，无语,2026-06-02 10:26:12.019
44,862606100015235,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-02 10:27:04.405
44,862606100015269,买家,text,了解了，我考虑一下,2026-06-02 10:29:16.269
44,862606100015324,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-02 10:30:38.641
45,862606100015360,买家,text,持妆无瑕粉底液里视黄醇浓度是多少？,2026-06-02 10:22:05.357
45,862606100015445,商家,text,您好~持妆无瑕粉底液中视黄醇添加浓度为0.1%，属于温和有效的浓度区间，耐受后可每天使用哦,2026-06-02 10:22:27.252
45,862606100015522,买家,text,有没有完整成分表,2026-06-02 10:22:49.034
45,862606100015585,商家,text,建议新手先局部试用建立耐受，如出现持续刺痛泛红请停用，我们支持过敏凭证退货的哦~,2026-06-02 10:23:12.688
46,862606100015632,买家,text,敏感肌用轻盈防晒霜SPF50+会闷痘吗,2026-06-02 10:24:21.886
46,862606100015695,商家,text,在的在的，请讲~,2026-06-02 10:25:00.133
46,862606100015773,商家,text,亲，敏感肌是可以用的，建议首次先在耳后或手臂内侧试用，无不适再上脸~,2026-06-02 10:25:17.772
46,862606100015833,买家,text,换季烂脸期能用吗,2026-06-02 10:28:07.330
46,862606100015887,商家,text,换季敏感期建议精简护肤，先用舒缓保湿类，等皮肤稳定后再叠加功效型产品~,2026-06-02 10:28:54.358
47,862606100015969,买家,text,客服客服,2026-06-02 10:53:52.387
47,862606100016009,买家,text,我拍了卸妆膏，今天能发货吗？寄到上海浦东,2026-06-02 10:53:56.294
47,862606100016058,买家,text,？,2026-06-02 10:58:59.631
47,862606100016102,商家,text,您好~现货48小时内发出，默认申通，到上海浦东一般2天左右哦,2026-06-02 10:59:18.192
48,862606100016152,买家,text,你好，神经酰胺修护面霜有补水功能吗？,2026-06-02 11:15:45.886
48,862606100016237,买家,text,和精华一起用可以吗,2026-06-02 11:16:08.218
48,862606100016271,商家,text,您好，在的呢~ 神经酰胺修护面霜核心功效是保湿修护，坚持使用对斑点会有改善哦,2026-06-02 11:17:11.488
48,862606100016366,商家,text,可以的呢，建议先水后精华再面霜，薄涂即可，叠加使用不冲突哦,2026-06-02 11:17:30.269
48,862606100016423,买家,text,多久能看到效果呀,2026-06-02 11:19:31.962
48,862606100016488,商家,text,一般连续使用2-4周会感觉皮肤状态改善，个体有差异哦，建议配合防晒效果更好~,2026-06-02 11:20:33.212
48,862606100016564,买家,text,好的谢谢,2026-06-02 11:22:38.847
48,862606100016655,商家,text,好的呢~有任何问题随时联系客服，祝您生活愉快，皮肤越来越好哦❤,2026-06-02 11:22:53.758
49,862606100016749,买家,text,烟酰胺焕白精华我一直回购，最近怎么涨价了,2026-06-02 11:18:09.992
49,862606100016800,买家,text,券在哪里领,2026-06-02 11:18:14.977
49,862606100016868,商家,text,亲，前段时间是大促价，现在恢复日常价啦，不过老客户这边可以给您申请一张回购专属券~,2026-06-02 11:19:32.684
49,862606100016922,商家,text,券已发放到您的账户「我的优惠券」里啦，24小时内有效，记得使用哦~,2026-06-02 11:19:39.775
50,862606100016996,买家,text,在吗,2026-06-02 11:34:23.534
